tenBan,loai,tenKhoaHoc,loaiCha,nguon,ghiChu
amerikanische-rotflossenorfe-cyprinella-lutrensis,loai,Cyprinella lutrensis,,garnelio.de,
gabelbart-osteoglossum-bicirrhosum-raritaet,loai,Osteoglossum bicirrhosum,,garnelio.de,
astatotilapia-calliptera-chisumulu-5-7cm-rare,loai,Astatotilapia calliptera,,garnelio.de,
augenfleck-kugelfisch-dichotomyctere-ocellatus-tetraodon-biocellatus,loai,Dichotomyctere ocellatus,,garnelio.de,
augenfleckbuntbarsch-gold-heros-severus,loai,Heros severus,,garnelio.de,
augenstrichpanzerwels-hoplisoma-corydoras-schwartzi,loai,Corydoras schwartzi,,garnelio.de,
aulonocara-aquilonium-mdoka-8-10cm-very-rare,loai,Aulonocara aquilonium,,garnelio.de,
aulonocara-baenschi-benga-11-13cm,loai,Aulonocara baenschi,,garnelio.de,
aulonocara-brevinidus-8-10cm-very-rare,loai,Aulonocara brevinidus,,garnelio.de,
aulonocara-ethelwynnae-8-10cm,loai,Aulonocara ethelwynnae,,garnelio.de,
aulonocara-hansbaenschi-red-flush-11-13cm,loai,Aulonocara hansbaenschi,,garnelio.de,
aulonocara-hueseri-10-12cm,loai,Aulonocara hueseri,,garnelio.de,
aulonocara-jacobfreibergi-cape-maclear-10-12cm,loai,Aulonocara jacobfreibergi,,garnelio.de,
aulonocara-kandeense-kande-10-12cm,loai,Aulonocara kandeense,,garnelio.de,
aulonocara-koningsi-mbenji-10-12cm,loai,Aulonocara koningsi,,garnelio.de,
aulonocara-maylandi-10-12cm,loai,Aulonocara maylandi,,garnelio.de,
aulonocara-rostratum-8-10cm-rare,loai,Aulonocara rostratum,,garnelio.de,
aulonocara-saulosi-green-face-likoma-12-15cm-show,loai,Aulonocara saulosi,,garnelio.de,
aulonocara-steveni-hongi-10-12cm,loai,Aulonocara steveni,,garnelio.de,
aulonocara-stuartgranti-chilumba-11-13cm,loai,Aulonocara stuartgranti,,garnelio.de,
azurcichlide-enz-sciaenochromis-fryeri,loai,Sciaenochromis fryeri,,garnelio.de,
ballonmolly-leopard-poecilia-latipinna,loai,Poecilia latipinna,,garnelio.de,
banderolenkaerpfling-dnz-xenotoca-eiseni,loai,Xenotoca eiseni,,garnelio.de,
blaubarsch-badis-badis,loai,Badis badis,,garnelio.de,
blauer-neon-paracheirodon-simulans,loai,Paracheirodon simulans,,garnelio.de,
blauer-regenbogenfisch-melanotaenia-lacustris-dnz,loai,Melanotaenia lacustris,,garnelio.de,
blauer-schlangenkopffisch-channa-andrao-5-6cm-raritaet,loai,Channa andrao,,garnelio.de,
blauer-schwarzbandsalmler-hyphessobrycon-melanostichos,loai,Hyphessobrycon melanostichos,,garnelio.de,
blauorfe-leuciscus-idus-10-15-cm,loai,Leuciscus idus,,garnelio.de,
blaustrich-keilfleckbarbe-rasbora-truncata,loai,Rasbora truncata,,garnelio.de,
blehers-regenbogenfisch-dnz-chilatherina-bleheri,loai,Chilatherina bleheri,,garnelio.de,
blue-fin-sandbuntbarsch-dnz-lethrinops-albus-kande,loai,Lethrinops albus,,garnelio.de,
blutschwanzsalmler-hemigrammus-stictus,loai,Hemigrammus stictus,,garnelio.de,
borneo-flossensauger-pseudogastromyzon-myersi,loai,Pseudogastromyzon myersi,,garnelio.de,
brabantbuntbarsch-dnz-tropheus-moorii-bemba-raritaet,loai,Tropheus moorii,,garnelio.de,
brasil-perlmutt-buntbarsch-dnz-geophagus-brasiliensis,loai,Geophagus brasiliensis,,garnelio.de,
brasilianischer-kirschflecksalmler-hyphessobrycon-socolofi,loai,Hyphessobrycon socolofi,,garnelio.de,
brauner-weissstirn-messerfisch-apteronotus-albifrons,loai,Apteronotus albifrons,,garnelio.de,
brokatbarbe-barbodes-semifasciolatus-dnz,loai,Barbodes semifasciolatus,,garnelio.de,
brombeersalmler-hyphessobrycon-wadai,loai,Hyphessobrycon wadai,,garnelio.de,
buccochromis-nototaenia-10-12cm,loai,Buccochromis nototaenia,,garnelio.de,
buccochromis-spectabilis-8-10cm,loai,Buccochromis spectabilis,,garnelio.de,
buckelkopfcichlide-dnz-steatocranus-casuarius,loai,Steatocranus casuarius,,garnelio.de,
callochromis-macrops-ndole-red-8-10cm,loai,Callochromis macrops,,garnelio.de,
callochromis-pleurospilus-ujiji-7-10cm,loai,Callochromis pleurospilus,,garnelio.de,
celebes-sonnenstrahlfisch-marosatherina-ladigesi,loai,Marosatherina ladigesi,,garnelio.de,
chamaeleonbuntbarsch-pseudotropheus-crabro,loai,Pseudotropheus crabro,,garnelio.de,
cheilochromis-euchilus-likoma-16-20cm-rare,loai,Cheilochromis euchilus,,garnelio.de,
chipoka-maulbrueter-dnz-melanochromis-chipokae,loai,Melanochromis chipokae,,garnelio.de,
copadichromis-atripinnis-7-10cm-very-rare,loai,Copadichromis atripinnis,,garnelio.de,
copadichromis-azureus-mbenji-10-12cm,loai,Copadichromis azureus,,garnelio.de,
copadichromis-borleyi-kadango-red-fin-11-13cm-very-nice,loai,Copadichromis borleyi,,garnelio.de,
copadichromis-chizumuluensis-15-20cm-rare,loai,Copadichromis chizumuluensis,,garnelio.de,
